post viewers for paid ,Total Interactions
813,6
1006,15
1357,0
1845,0
1954,32
2055,98
2227,97
2232,98
2316,30
2351,117
2360,119
2431,18
2522,121
2566,158
2602,68
2628,55
2645,46
2645,72
2790,132
2823,89
2938,122
2938,126
2970,67
3130,62
3254,42
3286,115
3294,65
3414,217
3414,53
3528,75
3616,35
3662,83
3696,81
3714,122
3726,85
3776,122
3796,29
3934,133
4018,100
4022,82
4032,180
4096,186
4204,166
4260,271
4274,143
4336,190
4362,179
4412,63
4458,136
4644,184
4840,71
4938,7
5212,210
5290,104
5290,163
5298,183
5324,96
5402,126
5490,203
5582,200
5594,189
5754,84
5848,85
5854,218
6030,208
6184,152
6460,313
6564,454
6880,75
7132,182
7220,118
7492,295
7968,71
9124,199
9236,70
9604,143
9652,39
10040,311
10748,557
10824,21
10940,123
11304,235
11444,233
11608,363
11692,279
12468,378
12728,470
12824,316
13216,189
13720,339
13856,84
14320,67
15576,300
15880,238
16416,81
16776,447
17912,587
18480,211
19800,100
20168,404
20560,125
21872,409
22120,107
22304,1174
22784,599
23832,255
25248,337
27056,266
27072,160
27216,245
28752,202
31136,1009
31904,160
32208,881
35360,56
36208,174
37088,633
37376,505
39344,162
39568,149
40336,118
44288,165
46192,376
50128,1777
50736,53
50912,162
52736,28
53056,730
53264,713
53456,787
63840,234
66976,269
76096,587
95424,126
98816,228
100768,550
105632,2177
153536,176
180480,6334
