post viewers for non paid ,Total Interactions
238,2
391,7
452,5
584,2
617,6
619,4
645,5
652,12
659,10
677,7
677,9
729,7
747,10
754,3
786,8
834,9
861,34
910,10
1060,18
1080,39
1101,65
1228,0
1261,0
1330,28
1384,0
1388,17
1445,64
1531,39
1536,14
1543,38
1591,42
1592,17
1659,50
1673,34
1683,39
1685,70
1711,79
1722,54
1728,58
1729,25
1804,67
1809,73
1874,0
1920,60
1925,32
2149,55
2168,70
2219,91
2225,129
2232,72
2257,90
2291,94
2295,70
2352,69
2363,90
2402,67
2413,80
2425,83
2426,148
2428,139
2478,117
2540,96
2545,53
2549,152
2585,24
2594,66
2626,148
2656,137
2690,113
2718,60
2723,96
2752,100
2763,72
2772,83
2812,99
2819,142
2822,135
2847,104
2848,81
2881,88
2933,6
2935,87
2973,114
3002,125
3024,84
3028,73
3046,89
3090,185
3100,164
3102,119
3110,45
3112,106
3144,72
3176,120
3212,49
3234,75
3272,39
3290,59
3322,95
3322,90
3330,79
3332,105
3334,44
3358,132
3358,120
3366,242
3376,45
3384,128
3406,118
3416,119
3418,59
3454,18
3460,115
3480,75
3504,130
3528,114
3544,58
3558,94
3576,99
3582,194
3594,139
3600,93
3674,222
3690,68
3706,71
3734,162
3754,38
3754,135
3756,163
3766,75
3772,3
3778,115
3786,92
3806,97
3824,90
3884,71
3906,10
3930,75
3992,282
4010,200
4012,311
4048,263
4068,74
4094,4
4118,36
4122,39
4132,118
4156,136
4188,119
4202,167
4220,203
4240,138
4248,117
4280,157
4284,58
4320,172
4324,212
4344,134
4390,90
4398,243
4406,91
4452,25
4480,217
4484,225
4512,199
4518,299
4552,77
4582,252
4592,54
4664,48
4666,202
4684,84
4694,142
4708,180
4732,342
4762,238
4770,124
4800,103
4892,144
4894,242
4898,86
4908,66
4910,188
4940,162
4986,122
5016,254
5034,83
5040,108
5046,103
5080,53
5086,252
5132,2
5168,14
5206,174
5240,61
5280,204
5280,110
5282,330
5292,274
5302,168
5312,68
5338,73
5400,176
5458,171
5526,97
5536,106
5560,173
5568,387
5704,17
5728,190
5730,49
5746,271
5786,68
5812,220
5878,128
5880,95
5976,309
5990,441
5994,280
6000,99
6056,127
6150,188
6172,87
6208,276
6360,225
6400,38
6408,195
6416,125
6444,232
6484,170
6596,79
6668,69
6692,117
6692,355
6768,226
6876,85
6952,285
6984,335
7192,110
7228,165
7232,101
7244,393
7268,36
7512,410
7732,224
7980,287
8260,86
8284,106
8324,15
8412,257
8488,121
8500,217
8612,193
8628,94
8728,101
8896,154
9056,273
9084,121
9120,34
9232,166
9356,131
9384,409
9504,238
9528,282
9528,264
9560,622
9700,378
9880,40
10060,108
10152,67
10188,87
10460,164
10472,186
10744,179
10844,230
10888,294
10956,17
11096,288
11336,54
11420,237
11484,515
11620,66
11844,192
12044,117
12540,63
12776,430
13152,265
13280,262
13544,114
13544,41
13872,271
14152,114
14200,100
14424,57
14824,456
15288,305
15296,121
15816,232
16576,214
17360,572
17576,269
18056,390
18120,204
18320,148
18552,429
19552,494
19648,818
19968,624
20528,172
20896,605
20920,115
21176,163
21248,251
21256,228
21744,252
21928,86
22464,163
22984,97
24264,236
24720,421
26944,234
28112,152
28128,178
28208,290
28352,528
28880,126
30624,472
32208,458
33536,1290
34192,44
34480,771
34512,490
35008,56
38576,596
38960,948
39040,691
39600,107
39984,367
41984,1974
44464,188
45920,137
47376,218
49632,249
50640,931
54256,823
55520,1873
56672,1439
58304,155
66784,226
68896,1626
68992,202
70144,1136
70912,420
71360,97
72864,243
81856,1806
109056,194
122944,149
128064,212
139008,271
158208,313
