Type,post viewers ,comment,like,share,Total Interactions
Photo,238,0,2,0,2
Photo,391,0,6,1,7
Photo,452,0,4,1,5
Photo,584,0,2,,2
Photo,617,1,3,2,6
Photo,619,1,1,2,4
Photo,645,0,4,1,5
Photo,652,0,11,1,12
Photo,659,1,7,2,10
Photo,677,0,7,,7
Photo,677,0,7,2,9
Photo,729,0,7,0,7
Photo,747,0,9,1,10
Photo,754,0,3,0,3
Photo,786,0,6,2,8
Photo,834,0,7,2,9
Photo,861,2,28,4,34
Photo,910,0,8,2,10
Photo,1060,0,18,,18
Photo,1080,4,32,3,39
Photo,1101,3,51,11,65
Photo,1228,0,0,0,0
Photo,1261,0,,,0
Photo,1330,2,17,9,28
Photo,1384,0,0,0,0
Photo,1388,0,13,4,17
Photo,1445,0,56,8,64
Photo,1531,3,30,6,39
Link,1536,1,12,1,14
Photo,1543,2,30,6,38
Photo,1591,0,34,8,42
Photo,1592,0,15,2,17
Photo,1659,3,36,11,50
Photo,1673,2,28,4,34
Photo,1683,1,27,11,39
Photo,1685,0,54,16,70
Photo,1711,2,63,14,79
Photo,1722,2,40,12,54
Photo,1728,1,48,9,58
Photo,1729,0,23,2,25
Photo,1804,0,61,6,67
Photo,1809,2,64,7,73
Photo,1874,0,0,0,0
Photo,1920,1,52,7,60
Link,1925,6,18,8,32
Photo,2149,0,48,7,55
Photo,2168,0,53,17,70
Photo,2219,0,78,13,91
Photo,2225,2,111,16,129
Photo,2232,0,62,10,72
Photo,2257,3,76,11,90
Photo,2291,0,80,14,94
Photo,2295,0,63,7,70
Photo,2352,2,60,7,69
Photo,2363,11,68,11,90
Photo,2402,5,57,5,67
Photo,2413,0,66,14,80
Photo,2425,4,66,13,83
Photo,2426,7,125,16,148
Photo,2428,4,117,18,139
Photo,2478,0,100,17,117
Photo,2540,2,86,8,96
Photo,2545,0,40,13,53
Photo,2549,5,137,10,152
Photo,2585,0,19,5,24
Photo,2594,1,54,11,66
Photo,2626,2,124,22,148
Photo,2656,1,115,21,137
Photo,2690,0,96,17,113
Photo,2718,0,50,10,60
Photo,2723,0,72,24,96
Photo,2752,4,79,17,100
Photo,2763,0,62,10,72
Photo,2772,2,72,9,83
Photo,2812,4,79,16,99
Photo,2819,1,115,26,142
Photo,2822,2,113,20,135
Photo,2847,0,90,14,104
Photo,2848,3,66,12,81
Photo,2881,0,73,15,88
Link,2933,0,6,0,6
Photo,2935,4,64,19,87
Photo,2973,0,94,20,114
Photo,3002,4,98,23,125
Photo,3024,0,64,20,84
Photo,3028,2,59,12,73
Photo,3046,1,71,17,89
Photo,3090,5,153,27,185
Photo,3100,3,146,15,164
Photo,3102,7,84,28,119
Photo,3110,2,33,10,45
Photo,3112,0,88,18,106
Photo,3144,1,58,13,72
Photo,3176,1,98,21,120
Photo,3212,1,40,8,49
Photo,3234,0,58,17,75
Photo,3272,0,32,7,39
Photo,3290,1,44,14,59
Photo,3322,1,71,23,95
Photo,3322,2,74,14,90
Photo,3330,2,61,16,79
Photo,3332,0,87,18,105
Photo,3334,4,37,3,44
Photo,3358,2,114,16,132
Photo,3358,8,109,3,120
Photo,3366,3,198,41,242
Photo,3376,0,40,5,45
Photo,3384,2,101,25,128
Photo,3406,1,98,19,118
Photo,3416,19,77,23,119
Photo,3418,2,51,6,59
Link,3454,0,16,2,18
Photo,3460,0,96,19,115
Photo,3480,0,53,22,75
Photo,3504,9,102,19,130
Photo,3528,2,95,17,114
Photo,3544,1,51,6,58
Photo,3558,0,78,16,94
Photo,3576,2,84,13,99
