Post Month,Post Weekday,Post Hour,post viewers ,Total Interactions
3,1,19,238,2
3,7,18,391,7
3,6,17,452,5
10,7,9,584,2
10,7,7,617,6
10,7,8,619,4
10,6,13,645,5
10,6,8,652,12
10,6,9,659,10
10,7,6,677,7
10,7,5,677,9
10,7,11,729,7
10,6,13,747,10
10,6,12,754,3
10,7,10,786,8
10,7,10,834,9
10,6,6,861,34
10,6,11,910,10
9,5,10,1060,18
10,5,8,1080,39
10,6,3,1101,65
11,3,2,1228,0
10,6,8,1261,0
8,3,4,1330,28
12,7,10,1384,0
10,3,4,1388,17
11,1,3,1445,64
11,3,3,1531,39
12,2,2,1536,14
9,2,2,1543,38
12,1,11,1591,42
10,7,13,1592,17
8,5,1,1659,50
10,6,10,1673,34
12,3,10,1683,39
9,3,7,1685,70
10,3,10,1711,79
12,3,3,1722,54
11,1,9,1728,58
6,4,7,1729,25
9,7,10,1804,67
8,6,8,1809,73
3,3,10,1874,0
8,5,13,1920,60
12,3,2,1925,32
11,7,11,2149,55
11,6,11,2168,70
11,1,9,2219,91
11,7,9,2225,129
9,1,10,2232,72
11,4,10,2257,90
10,7,10,2291,94
8,1,4,2295,70
11,1,10,2352,69
9,2,3,2363,90
6,4,11,2402,67
12,3,3,2413,80
11,6,10,2425,83
10,7,9,2426,148
10,6,4,2428,139
12,5,3,2478,117
8,1,4,2540,96
11,5,3,2545,53
12,5,3,2549,152
6,3,11,2585,24
8,7,3,2594,66
11,7,4,2626,148
9,2,2,2656,137
12,1,3,2690,113
5,2,12,2718,60
12,7,3,2723,96
12,4,3,2752,100
6,1,3,2763,72
5,6,14,2772,83
5,6,6,2812,99
10,5,11,2819,142
7,2,23,2822,135
12,5,10,2847,104
12,1,3,2848,81
7,2,8,2881,88
3,7,14,2933,6
11,7,3,2935,87
7,2,13,2973,114
12,2,9,3002,125
5,2,1,3024,84
6,7,10,3028,73
6,1,4,3046,89
10,6,10,3090,185
9,2,10,3100,164
11,6,3,3102,119
6,1,3,3110,45
12,5,10,3112,106
5,6,13,3144,72
7,1,5,3176,120
6,1,12,3212,49
6,5,12,3234,75
3,2,3,3272,39
12,7,3,3290,59
6,3,3,3322,95
6,5,3,3322,90
7,1,3,3330,79
5,6,3,3332,105
4,2,13,3334,44
8,2,3,3358,132
3,1,18,3358,120
10,7,3,3366,242
8,3,9,3376,45
7,6,2,3384,128
7,1,6,3406,118
11,1,3,3416,119
6,2,13,3418,59
12,7,10,3454,18
7,1,12,3460,115
1,5,8,3480,75
7,3,13,3504,130
5,3,11,3528,114
4,6,9,3544,58
6,7,11,3558,94
6,1,3,3576,99
9,4,10,3582,194
7,6,10,3594,139
6,2,13,3600,93
10,1,11,3674,222
10,6,2,3690,68
7,4,3,3706,71
8,7,10,3734,162
11,7,12,3754,38
6,2,3,3754,135
9,2,11,3756,163
12,2,3,3766,75
3,7,15,3772,3
1,5,2,3778,115
12,2,11,3786,92
5,7,14,3806,97
4,5,3,3824,90
4,7,14,3884,71
10,6,9,3906,10
12,2,3,3930,75
9,7,3,3992,282
10,5,11,4010,200
11,3,10,4012,311
9,1,6,4048,263
3,2,12,4068,74
3,7,12,4094,4
3,5,10,4118,36
3,3,10,4122,39
5,2,14,4132,118
1,4,11,4156,136
1,4,4,4188,119
5,1,13,4202,167
7,3,1,4220,203
4,7,13,4240,138
6,1,14,4248,117
4,3,8,4280,157
12,4,11,4284,58
6,4,3,4320,172
8,7,10,4324,212
5,3,5,4344,134
4,7,10,4390,90
9,7,3,4398,243
4,4,13,4406,91
6,1,13,4452,25
9,2,9,4480,217
9,1,4,4484,225
12,1,11,4512,199
9,5,2,4518,299
4,1,3,4552,77
11,6,3,4582,252
7,1,11,4592,54
10,5,10,4664,48
7,2,13,4666,202
1,7,2,4684,84
12,6,10,4694,142
5,7,2,4708,180
11,1,3,4732,342
6,4,2,4762,238
4,7,3,4770,124
1,7,2,4800,103
7,4,11,4892,144
11,7,9,4894,242
3,6,3,4898,86
1,1,2,4908,66
5,2,8,4910,188
12,4,2,4940,162
4,6,3,4986,122
5,4,4,5016,254
1,1,12,5034,83
1,2,7,5040,108
8,6,6,5046,103
3,3,4,5080,53
9,1,10,5086,252
3,7,15,5132,2
1,2,2,5168,14
5,7,14,5206,174
2,2,13,5240,61
12,3,3,5280,204
1,6,11,5280,110
8,6,10,5282,330
7,6,5,5292,274
4,5,13,5302,168
3,2,5,5312,68
3,2,9,5338,73
1,7,10,5400,176
7,4,12,5458,171
1,3,3,5526,97
1,5,13,5536,106
4,5,3,5560,173
10,4,1,5568,387
3,6,15,5704,17
5,5,9,5728,190
3,6,6,5730,49
8,1,12,5746,271
2,5,6,5786,68
11,5,11,5812,220
2,4,12,5878,128
2,1,4,5880,95
5,1,3,5976,309
11,6,10,5990,441
4,6,20,5994,280
5,6,9,6000,99
1,5,4,6056,127
6,3,13,6150,188
4,6,13,6172,87
9,5,11,6208,276
4,4,13,6360,225
3,1,18,6400,38
7,5,3,6408,195
2,5,12,6416,125
5,2,11,6444,232
2,6,3,6484,170
4,3,7,6596,79
4,5,13,6668,69
11,5,2,6692,117
4,2,13,6692,355
6,4,13,6768,226
3,1,3,6876,85
6,6,9,6952,285
5,7,2,6984,335
3,6,15,7192,110
2,2,13,7228,165
7,6,3,7232,101
12,2,3,7244,393
12,5,10,7268,36
9,6,10,7512,410
2,3,3,7732,224
8,5,10,7980,287
8,7,4,8260,86
12,6,3,8284,106
6,7,4,8324,15
1,1,2,8412,257
12,6,10,8488,121
2,3,13,8500,217
10,4,10,8612,193
6,6,4,8628,94
11,7,3,8728,101
10,5,3,8896,154
11,4,11,9056,273
4,5,5,9084,121
3,3,15,9120,34
5,5,7,9232,166
2,3,13,9356,131
9,7,9,9384,409
10,1,4,9504,238
2,4,3,9528,282
2,4,3,9528,264
12,5,3,9560,622
1,7,10,9700,378
4,3,8,9880,40
12,3,10,10060,108
5,1,2,10152,67
7,5,10,10188,87
12,3,10,10460,164
12,1,9,10472,186
10,7,4,10744,179
3,7,17,10844,230
7,7,4,10888,294
7,7,10,10956,17
9,6,4,11096,288
4,1,2,11336,54
3,6,17,11420,237
1,4,11,11484,515
6,2,2,11620,66
12,7,3,11844,192
6,7,11,12044,117
5,1,2,12540,63
10,4,10,12776,430
10,3,10,13152,265
12,6,11,13280,262
11,3,11,13544,114
6,3,11,13544,41
10,7,3,13872,271
9,3,10,14152,114
8,2,7,14200,100
8,2,12,14424,57
7,4,3,14824,456
2,4,12,15288,305
7,5,14,15296,121
10,7,9,15816,232
12,3,11,16576,214
7,4,6,17360,572
12,7,9,17576,269
5,4,10,18056,390
10,1,3,18120,204
7,3,13,18320,148
5,3,7,18552,429
12,5,11,19552,494
8,1,10,19648,818
7,5,3,19968,624
2,6,6,20528,172
6,4,12,20896,605
4,1,2,20920,115
11,4,3,21176,163
5,3,12,21248,251
9,1,10,21256,228
12,5,10,21744,252
2,1,12,21928,86
6,2,13,22464,163
11,1,10,22984,97
4,3,13,24264,236
11,2,3,24720,421
7,6,11,26944,234
6,6,12,28112,152
2,3,6,28128,178
7,1,13,28208,290
4,6,14,28352,528
8,3,10,28880,126
9,2,10,30624,472
10,7,12,32208,458
8,4,10,33536,1290
4,6,4,34192,44
3,4,13,34480,771
8,7,3,34512,490
4,4,3,35008,56
7,7,3,38576,596
5,7,2,38960,948
5,4,12,39040,691
1,6,4,39600,107
10,6,4,39984,367
9,3,10,41984,1974
7,2,13,44464,188
1,5,11,45920,137
6,6,4,47376,218
3,4,7,49632,249
8,1,3,50640,931
7,5,3,54256,823
2,1,13,55520,1873
6,1,10,56672,1439
6,4,12,58304,155
1,3,10,66784,226
10,4,3,68896,1626
10,4,3,68992,202
10,2,4,70144,1136
4,2,6,70912,420
4,5,9,71360,97
8,2,10,72864,243
5,5,13,81856,1806
6,2,3,109056,194
3,6,10,122944,149
4,7,14,128064,212
6,2,13,139008,271
2,6,13,158208,313
10,7,12,813,6
8,4,11,1006,15
10,4,9,1357,0
3,5,4,1845,0
8,4,9,1954,32
9,1,3,2055,98
10,1,3,2227,97
8,6,10,2232,98
7,3,4,2316,30
9,7,4,2351,117
9,2,3,2360,119
6,5,11,2431,18
9,3,2,2522,121
11,4,9,2566,158
7,7,11,2602,68
7,6,13,2628,55
12,5,3,2645,46
10,2,11,2645,72
9,5,3,2790,132
6,6,2,2823,89
11,5,10,2938,122
11,2,11,2938,126
4,6,9,2970,67
4,2,2,3130,62
8,1,12,3254,42
4,6,3,3286,115
6,1,3,3294,65
7,5,8,3414,217
7,4,9,3414,53
7,7,11,3528,75
10,6,11,3616,35
6,2,5,3662,83
3,5,14,3696,81
4,4,5,3714,122
7,4,12,3726,85
5,5,9,3776,122
2,3,9,3796,29
8,7,10,3934,133
10,4,10,4018,100
6,7,3,4022,82
5,4,4,4032,180
7,5,11,4096,186
8,4,3,4204,166
9,3,2,4260,271
7,2,7,4274,143
5,6,8,4336,190
5,7,13,4362,179
3,1,13,4412,63
5,1,13,4458,136
6,3,3,4644,184
2,5,13,4840,71
1,4,4,4938,7
4,4,15,5212,210
4,4,3,5290,104
2,2,3,5290,163
4,5,7,5298,183
10,1,10,5324,96
4,3,13,5402,126
5,4,13,5490,203
4,7,3,5582,200
4,2,2,5594,189
1,6,16,5754,84
7,7,6,5848,85
6,2,9,5854,218
3,4,14,6030,208
1,6,3,6184,152
5,5,10,6460,313
10,5,4,6564,454
4,4,12,6880,75
2,2,4,7132,182
3,7,10,7220,118
4,2,13,7492,295
